LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,AboveMedianPrice
8450,7,5,856,2,1,3,8,0,548,1
9600,6,8,1262,2,0,3,6,1,460,1
11250,7,5,920,2,1,3,6,1,608,1
9550,7,5,756,1,0,3,7,1,642,0
14260,8,5,1145,2,1,4,9,1,836,1
14115,5,5,796,1,1,1,5,0,480,0
10084,8,5,1686,2,0,3,7,1,636,1
10382,7,6,1107,2,1,3,7,2,484,1
6120,7,5,952,2,0,2,8,2,468,0
7420,5,6,991,1,0,2,5,2,205,0
11200,5,5,1040,1,0,3,5,0,384,0
11924,9,5,1175,3,0,4,11,2,736,1
12968,5,6,912,1,0,2,4,0,352,0
10652,7,5,1494,2,0,3,7,1,840,1
10920,6,5,1253,1,1,2,5,1,352,0
6120,7,8,832,1,0,2,5,0,576,0
11241,6,7,1004,1,0,2,5,1,480,0
10791,4,5,0,2,0,2,6,0,516,0
13695,5,5,1114,1,1,3,6,0,576,0
7560,5,6,1029,1,0,3,6,0,294,0
14215,8,5,1158,3,1,4,9,1,853,1
7449,7,7,637,1,0,3,6,1,280,0
9742,8,5,1777,2,0,3,7,1,534,1
4224,5,7,1040,1,0,3,6,1,572,0
8246,5,8,1060,1,0,3,6,1,270,0
14230,8,5,1566,2,0,3,7,1,890,1
7200,5,7,900,1,0,3,5,0,576,0
11478,8,5,1704,2,0,3,7,1,772,1
16321,5,6,1484,1,0,2,6,2,319,1
6324,4,6,520,1,0,1,4,0,240,0
8500,4,4,649,1,0,3,6,0,250,0
8544,5,6,1228,1,1,3,6,0,271,0
11049,8,5,1234,2,0,3,7,0,484,1
10552,5,5,1398,1,1,4,6,1,447,1
7313,9,5,1561,2,0,2,6,1,556,1
13418,8,5,1117,3,1,4,9,1,691,1
10859,5,5,1097,1,1,3,6,0,672,0
8532,5,6,1297,1,0,3,5,1,498,0
7922,5,7,1057,1,0,3,5,0,246,0
6040,4,5,0,2,0,2,6,0,0,0
8658,6,5,1088,2,0,3,6,1,440,0
16905,5,6,1350,1,1,2,5,2,308,1
9180,5,7,840,1,0,2,5,0,504,0
9200,5,6,938,1,0,3,5,0,308,0
7945,5,6,1150,1,0,3,6,0,300,0
7658,9,5,1752,2,0,2,6,1,576,1
12822,7,5,1434,1,1,1,6,1,670,1
11096,8,5,1656,2,0,3,7,0,826,1
4456,4,5,736,2,0,2,8,0,0,0
7742,5,7,955,1,0,3,6,0,386,0
13869,6,6,794,2,0,3,6,0,388,1
6240,6,6,816,1,0,3,6,1,528,0
8472,5,5,816,1,0,2,5,0,516,0
50271,9,5,1842,0,1,0,5,1,894,1
7134,5,5,384,1,0,3,6,1,572,0
10175,6,5,1425,2,0,3,7,1,576,1
2645,8,5,970,2,1,3,7,0,480,1
11645,7,5,860,2,1,3,7,0,565,1
13682,10,5,1410,3,1,3,10,1,641,1
7200,5,7,780,1,0,2,4,0,352,0
13072,6,5,1158,1,1,3,5,0,576,0
7200,5,7,530,1,0,3,6,0,288,0
6442,8,5,1370,2,0,2,6,1,484,1
10300,7,6,576,2,0,3,9,0,480,0
9375,7,5,1057,2,1,3,8,0,645,1
9591,8,5,1143,2,1,4,9,1,852,1
19900,7,5,1947,2,0,3,7,1,576,1
10665,7,5,1453,2,0,3,7,0,558,1
4608,4,6,747,1,0,2,4,0,220,0
15593,7,4,1304,2,0,3,7,1,667,1
13651,7,6,2223,2,0,3,8,2,516,1
7599,4,6,845,1,0,2,4,0,360,0
10141,7,5,832,2,1,3,7,1,427,1
10200,5,7,1086,1,0,3,6,0,490,0
5790,3,6,840,2,0,3,8,0,379,0
1596,4,5,462,1,0,2,5,0,297,0
8475,4,7,952,1,0,2,4,0,283,0
8635,5,5,672,1,0,2,6,0,240,0
